medianage,population,countystate,county,state,voteproportion,landarea,income,nonenglish,unemployment,bachelorsdegree,white,black,nativea,asian,pacifici,hispanic,veteran,disability%,manufacturing,agriculture,mining,nonengproportion,popdensity,veteran%,mining/capita,agriculture/capita,manufacturing/capita,popdensityroot,incomeroot,medianageroot,veteran%root,disability%root,mining/capitaroot,agriculture/capitaroot,manufacturing/capitaroot
42.4,208563,"Baldwin County, Alabama",Baldwin,Alabama,0.765457123352413,1589.78,29977,150610.92631578946,3.6,17.4,86.5,9.0,0.7,0.4,0.0,4.4,18214,14.9,9300.0,886.0,139.0,0.1860912928565291,131.18985016794778,0.08733092638675125,0.0006664652886657749,0.004248116875955946,0.044590843054616594,1.6285084771220006,2.8033596418349105,1.4545765629252063,0.7836403802925177,1.3101427769275913,0.13125776907773085,0.25918812054781987,0.732697261498553
39.1,114611,"Calhoun County, Alabama",Calhoun,Alabama,0.6866329600534848,605.87,23818,150610.92631578946,9.3,9.3,73.6,21.1,0.7,0.9,0.0,3.6,8861,21.5,8247.0,839.0,83.0,0.1860912928565291,189.16764322379387,0.07731369589306436,0.0007241887776914956,0.007320414270881504,0.07195644397134655,1.6892140512149452,2.739621268395076,1.4428383453028826,0.7741509364546292,1.3590763213329984,0.13527193925170788,0.29158041021803455,0.768611661337813
40.4,82471,"Cullman County, Alabama",Cullman,Alabama,0.8710426953238455,734.84,21237,150610.92631578946,4.7,11.4,95.8,1.3,0.8,0.9,0.0,4.3,5531,15.6,5326.0,819.0,64.0,0.1860912928565291,112.22987316966959,0.0670659989572092,0.0007760303621879206,0.009930763541123546,0.06458027670332601,1.6032854348565322,2.7083782451755036,1.4475652084946278,0.7632208740420431,1.3161714313804664,0.13863871280192402,0.31051912488397354,0.7603437670530192
39.8,70900,"DeKalb County, Alabama",DeKalb,Alabama,0.8288159219391311,777.09,19215,150610.92631578946,5.0,6.8,87.6,1.5,1.2,0.1,0.1,14.3,3456,12.9,7580.0,1366.0,0.0,0.1860912928565291,91.23782316076644,0.04874471086036671,0.0,0.01926657263751763,0.10691114245416079,1.5704260529861773,2.681415026914916,1.4454008547553148,0.7392524114299838,1.2913946147783533,0.0,0.3537215612892977,0.7996543370389831
38.3,81799,"Elmore County, Alabama",Elmore,Alabama,0.7416532474503489,618.49,26230,150610.92631578946,4.9,15.8,78.93400267737621,10.227978580990621,1.0864792503346754,3.3942436412315926,0.161579651941097,1.0,6531,17.2,4194.0,283.0,17.0,0.1860912928565291,132.25597826965674,0.07984205185882468,0.00020782650154647366,0.0034596999963324737,0.05127202044034768,1.6298270866836282,2.7661761280117236,1.43985870841644,0.7766461057163928,1.3290852695823179,0.07832171493588852,0.24741896090357846,0.7429986816612302
41.2,102564,"Etowah County, Alabama",Etowah,Alabama,0.7325649850557014,534.99,22117,150610.92631578946,6.4,9.7,81.1,16.0,0.5,0.8,0.0,3.8,8849,19.0,8184.0,177.0,0.0,0.1860912928565291,191.7119946167218,0.08627783627783628,0.0,0.0017257517257517258,0.07979407979407979,1.6914724499917289,2.719397048140284,1.450406447299114,0.7826902512212285,1.3423796509621049,0.0,0.20929504899339296,0.7765994293174971
39.5,104056,"Houston County, Alabama",Houston,Alabama,0.7206547995966134,579.82,24013,3883.0,7.3,13.1,69.0,26.7,0.4,1.0,0.0,3.2,7936,17.4,4005.0,665.0,9.0,0.037316444991158604,179.46259183884652,0.07626662566310448,8.649188898285538e-05,0.0063907895748443145,0.038488890597370644,1.6803408813864102,2.7418559988624653,1.4443076433507491,0.7730960479830647,1.330622689979045,0.04237157539705377,0.28333073778781687,0.7219939183056882
38.0,659521,"Jefferson County, Alabama",Jefferson,Alabama,0.4430374337176314,1111.28,30674,37614.0,6.9,20.0,51.6,42.5,0.3,1.3,0.0,3.7,37309,15.5,26373.0,302.0,1338.0,0.05703230071521604,593.4786912389317,0.05656984387153707,0.002028745104401528,0.0004579080878395078,0.039988112584739534,1.8938279118208563,2.8098105662324704,1.4387268865499157,0.7503406894789221,1.3153252880692625,0.187926263327871,0.14352998312540144,0.7247581214045304
41.6,92318,"Lauderdale County, Alabama",Lauderdale,Alabama,0.7058570524984187,667.7,24592,150610.92631578946,7.3,14.3,87.3,10.3,0.1,0.8,0.1,2.6,6395,14.6,4948.0,539.0,0.0,0.1860912928565291,138.26269282611952,0.06927143135683182,0.0,0.0058385146991919235,0.053597348296106934,1.6370822552555502,2.7483964886547962,1.451808494300666,0.7656943035894875,1.307480696100696,0.0,0.27790231890778977,0.7463015272471395
31.0,158991,"Lee County, Alabama",Lee,Alabama,0.5848355324289165,607.54,25081,150610.92631578946,5.8,19.7,69.9,23.9,0.0,4.2,0.0,3.8,9170,14.2,10081.0,220.0,153.0,0.1860912928565291,261.69634921157456,0.05767622066657861,0.0009623186218087816,0.0013837261228623005,0.0634061047480675,1.7449370594413303,2.7538132474838766,1.4097307383555406,0.7517954266599685,1.3038536119923916,0.14926588201557145,0.19773200630440607,0.7589498987803556
38.8,92753,"Limestone County, Alabama",Limestone,Alabama,0.7213729091179828,559.94,25662,150610.92631578946,5.7,14.5,82.2,15.2,0.6,0.4,0.0,5.8,8003,17.5,5448.0,511.0,0.0,0.1860912928565291,165.64810515412364,0.08628292346339202,0.0,0.005509255765312173,0.058736644636831155,1.6669349302820133,2.760126902242703,1.4417274672809268,0.782694866062153,1.331385445092909,0.0,0.2744417355391469,0.753166358686215
38.8,356967,"Madison County, Alabama",Madison,Alabama,0.5478949011255347,801.59,35192,23353.0,4.7,23.8,68.3,24.5,0.7,2.3,0.1,4.8,31870,12.8,21389.0,735.0,33.0,0.06542061310989532,445.32366920745017,0.08927996145301946,9.244552017413375e-05,0.002059013858423888,0.059918703969834744,1.840210811326427,2.8486847778322675,1.4417274672809268,0.7853719739942192,1.290390024296432,0.044992261344914186,0.2187235079078262,0.7546685317463426
38.0,95157,"Marshall County, Alabama",Marshall,Alabama,0.8277551251557368,565.84,22830,150610.92631578946,6.4,11.0,94.2,2.9,0.4,0.8,0.0,13.5,6402,13.6,9456.0,793.0,123.0,0.1860912928565291,168.16944719355294,0.0672782874617737,0.0012926006494530093,0.008333596057042572,0.09937261578233866,1.669454971074517,2.7280391033536002,1.4387268865499157,0.7634621180316669,1.2982367261521606,0.16421700789913773,0.2995598194969135,0.7938284731568507
37.4,414836,"Mobile County, Alabama",Mobile,Alabama,0.5506405691889983,1229.44,24499,19352.0,6.1,15.8,58.6,35.7,0.8,2.0,0.0,2.8,27795,14.5,20252.0,571.0,492.0,0.046649760387237366,337.41866215512755,0.0670023816640793,0.0011860108573026448,0.0013764475599996142,0.04881929244327879,1.789851128618684,2.7473553496959457,1.4364389083975462,0.7631484457101693,1.3065823891342858,0.15981060632131106,0.19745902637045448,0.7393654425455626
